appln_id,weighted_weak_ties,age,KR.x,techsum,d_index,c_index,D_index,citation_num,docdb_family_size,appln_auth,appln_filing_year,appln_kind,science_intensity,avg,sect.y,avg2,focal_aid,tie_strength,Bool_weak,weighted_tie_strengh,Bool_weighted_weak,new_Bool_weighted_weak,IPC_LIST,number_of_ipc4,ipc_distance
55000,0,35.75,0.911458269,719.1666667,0.0,0.0,0.0,0,32,EP,2002,A,0.5,0.453100871,1,0.205300399,55000,0.0615384615384615,0,0.4768568353067814,0,强链接,G01N;C12N;A61K;C07K;C40B,5,0.6213500922881208
58396,2,0.0,0.875284913,0.0,0.0,0.0,0.0,0,11,EP,2003,A,0.5,0.0,1,0.0,58396,0.0248756218905472,0,0.0826983832001486,0,强链接,G01N;C12P;C12N;A61K;C07K;A61P;C12Q,7,0.548146138089051
59136,2,0.0,0.840722268,0.0,0.071952997,0.0,0.000584,1,12,EP,1998,A,0.55,0.0,2,0.0,59136,0.0,2,0.0,2,,G01N;C12P;C12N;A61K;C07K;A61P,6,0.5643987795578466
64242,0,11.66666667,0.903437255,465.3333333,0.071428571,0.0,0.071428571,1,16,EP,2001,A,0.0,0.044632591,1,0.001992068,64242,0.0190930787589498,0,0.1232323232323232,0,强链接,A01K;G01N;C12N;C12P;A61K;C07K;A61P;C12Q,8,0.5982665969649794
65254,2,0.0,0.339298785,0.0,0.0,0.0,0.0,0,8,EP,2000,A,0.904761905,0.0,4,0.0,65254,0.0,2,0.0,2,,A61K;A61P,2,0.40579033829646605
65495,2,12.0,0.993745657,286.5,0.194789734,0.0,0.009433962,1,3,EP,2008,A,0.0,0.0,4,0.0,65495,0.0,1,0.0,1,弱链接,A61K;A61C,2,0.6366119543002868
67327,2,0.0,0.788008379,0.0,0.0,0.0,0.0,0,10,EP,2005,A,0.875,0.0,1,0.0,67327,0.014792899408284,0,0.382825370675453,0,强链接,A61K;C12N,2,0.515266476217991
67570,0,52.0,0.0,5334.5,0.0,0.0,0.0,0,18,FR,2008,A,0.0,0.213916994,2,0.04576048,67570,0.0041493775933609,0,0.2051891463656169,0,强链接,A61K,1,0.0
67630,2,47.5,0.842455536,29.0,0.0,0.0,0.0,0,11,FR,2007,A,0.0,0.0,2,0.0,67630,0.0,1,0.0,1,弱链接,G01N;C12N;A61K;C07K;A61P,5,0.5654793639159512
67928,2,5.5,0.757738389,10.0,0.0,0.0,0.0,0,5,FR,2008,A,0.0,0.0,2,0.0,67928,0.0,2,0.0,2,,C07D;A61P,2,0.5111478633832796
68514,2,0.0,0.867323359,0.0,0.291666667,0.0,0.2,1,6,FR,2008,A,0.0,0.0,4,0.0,68514,0.0833333333333333,0,0.1860465116279069,0,强链接,A61Q;A61K;A61P;A23L,4,0.4865534475104101
83454,2,18.0,0.591581109,85.0,0.0,0.0,0.0,0,12,EP,2006,A,0.083333333,0.0,4,0.0,83454,0.0,2,0.0,2,,C07D;A61K;A61P,3,0.5585213767579899
83911,2,0.0,0.833890913,0.0,0.035238217,0.0,0.00625,1,4,EP,2006,A,0.0,0.0,4,0.0,83911,0.039568345323741,0,0.1270661157024793,0,强链接,A61K;C07K;A61P;C08B,4,0.5525899369903043
90846,2,11.0,0.877878666,57.66666667,0.202777778,0.0,0.022222222,1,29,EP,1995,A,0.918367347,0.0,7,0.0,90846,0.0,2,0.0,2,,C12N;A61K;C07H;A61P;C12Q,5,0.5229084030658857
92897,2,21.0,0.950425955,200.0,0.056305682,0.0,0.012578616,2,19,EP,1996,A,0.0,0.0,4,0.0,92897,0.0,2,0.0,2,,A01K;G01N;C12N;C12P;A61K;A01N;C07K;C07H;C12Q,9,0.607784018701626
95532,2,0.0,0.887431937,0.0,0.199896749,0.0,0.001058574,3,13,EP,2001,A,0.2,0.0,5,0.0,95532,0.0178571428571428,0,0.0746003552397868,0,强链接,G01N;C12N;A61K;C07K;C12Q,5,0.5618862396633935
95636,1,10.5,0.800951706,329.0,0.098662536,0.0,0.019230769,1,29,EP,2007,A,0.72972973,0.0,4,0.0,95636,0.0,1,0.0,1,弱链接,A61K;C07K,2,0.5653148564634705
95658,2,0.0,0.692397039,0.0,0.241620764,0.0,0.010582011,2,8,EP,2007,A,0.28125,0.0,4,0.0,95658,0.0,1,0.0,1,弱链接,A61K;C12N;A61P,3,0.4904273563416275
95659,1,11.5,0.687869124,2340.5,0.331533929,0.0,0.019323671,4,12,EP,2007,A,0.230769231,0.0,4,0.0,95659,0.0,1,0.0,1,弱链接,A61K;C07K;A61P,3,0.4893756675274577
95688,2,0.0,0.776980471,0.0,0.0,0.0,0.0,0,6,EP,2007,A,0.166666667,0.0,4,0.0,95688,0.0,1,0.0,1,弱链接,A61K;C07K;C12N;A61P,4,0.5092216181956349
96688,0,18.9375,0.814152697,614.25,0.435952381,0.0,0.0625,2,12,EP,1998,A,0.411764706,0.166013359,7,0.027560435,96688,0.0763397937500629,0,0.3135708145687604,0,强链接,C12N;A61K;C07K;C07H;A61P,5,0.5417232592414838
102357,2,0.0,0.640390647,0.0,0.052631579,0.0,0.052631579,1,50,EP,2001,A,0.75,0.0,4,0.0,102357,0.0,1,0.0,1,弱链接,A61K;C12N;A61P,3,0.4904273563416275
102443,2,39.0,0.754714589,739.0,0.15297619,0.0,0.041666667,1,19,EP,2003,A,0.666666667,0.0,4,0.0,102443,0.0,2,0.0,2,,C07D;A61K;C07C;A61P,4,0.533030322499708
103287,2,0.0,0.961612398,0.0,0.366402116,0.0,0.020408163,1,3,EP,2008,A,0.0,0.0,4,0.0,103287,0.0,1,0.0,1,弱链接,A23K;C12P;C12N;A61K;A23L,5,0.595562496655245
104090,0,41.5,0.866649552,2106.5,0.0,0.0,0.0,0,9,EP,2003,A,0.428571429,0.241728562,1,0.058432698,104090,0.0182421227197346,0,0.2344466273739358,0,强链接,G01N;C12N;A61K;A61M;C07K;A61P,6,0.6215497258275828
104091,2,0.0,0.830431365,0.0,0.0,0.0,0.0,0,9,EP,2003,A,0.0,0.0,1,0.0,104091,0.0182421227197346,0,0.2344466273739358,0,强链接,C07D;G01N;C12N;A61K;C07K;A61P,6,0.6031299774805441
104934,2,0.0,0.347366714,0.0,0.0,0.0,0.0,0,7,EP,2006,A,0.409836066,0.0,4,0.0,104934,0.0180995475113122,0,0.0363436123348017,0,强链接,A61K;A61P,2,0.40579033829646605
106662,0,7.0,0.372933011,377.8181818,0.0,0.0,0.0,0,1,FR,2008,A,0.0,0.092297016,7,0.008518739,106662,0.0197907831495617,1,0.1176537872028915,1,弱链接,A61K;A61P,2,0.40579033829646605
